phenomenon,model,layer,metric,n,raw_spearman,raw_p,surface_controlled_spearman,surface_controlled_p,surface_controlled_q
negation,bert-base-uncased,0,delta_cos,1500,0.097190587005488,0.00016327033493881702,0.062109045092049425,0.016137516366179005,0.024680907383567888
negation,bert-base-uncased,1,delta_cos,1500,0.076442006119122,0.0030519801262287997,0.03001024771781908,0.24540425410574812,0.28892878219242796
negation,bert-base-uncased,2,delta_cos,1500,0.04655338409490506,0.0714700763765862,0.0025248888686435094,0.9221648303623461,0.9251299905885916
negation,bert-base-uncased,3,delta_cos,1500,0.0422669978079961,0.10176418978889205,-1.7549133487991962e-05,0.999458149930724,0.999458149930724
negation,bert-base-uncased,4,delta_cos,1500,0.022526176935425666,0.3833074593746251,-0.016070215317249472,0.5339957503164591,0.5686234610878336
negation,bert-base-uncased,5,delta_cos,1500,-0.017118337988156422,0.5076596660321684,-0.04571204245384547,0.07674895493539906,0.10103659890229749
negation,bert-base-uncased,6,delta_cos,1500,-0.010720915135642306,0.6782260679938975,-0.03161447496351395,0.22106221996801004,0.26224871722440735
negation,bert-base-uncased,7,delta_cos,1500,-0.025626769114256202,0.3212677909776053,-0.04278921829095385,0.09760108594776197,0.1253149745502129
negation,bert-base-uncased,8,delta_cos,1500,-0.024294656523833818,0.3470727397126354,-0.03711315262297831,0.15080812104415958,0.18658761860198683
negation,bert-base-uncased,9,delta_cos,1500,-0.045085392151808276,0.08088366787289511,-0.05901994539946222,0.022258946826887928,0.0330238133487796
negation,bert-base-uncased,10,delta_cos,1500,-0.09543428166094517,0.00021430872908729035,-0.11055665323306108,1.775243367915161e-05,3.52787217063395e-05
negation,bert-base-uncased,11,delta_cos,1500,-0.1292051790314294,5.140782850314773e-07,-0.14117582452733046,4.003927664224333e-08,9.118433804656876e-08
negation,bert-base-uncased,12,delta_cos,1500,-0.11953965429271875,3.4414021029382647e-06,-0.13235871279225983,2.680817648270039e-07,5.768380043174153e-07
negation,bert-base-uncased,0,delta_frob,1500,0.15418914522514707,1.9409708996328526e-09,0.13106484296268944,3.508175555998472e-07,7.39561333426705e-07
negation,bert-base-uncased,1,delta_frob,1500,0.10366526518269366,5.760008642231442e-05,0.06289607423093396,0.014836889688697402,0.02291638407363163
negation,bert-base-uncased,2,delta_frob,1500,0.08206104544185856,0.0014680458843847242,0.0419549348481158,0.10431858022970684,0.1333909714412645
negation,bert-base-uncased,3,delta_frob,1500,0.07535135884686017,0.0034995870655102038,0.03593318703475091,0.16423289716979614,0.2009437800665741
negation,bert-base-uncased,4,delta_frob,1500,0.04572994440879006,0.07663341316623883,0.008989891039838493,0.727919976502785,0.7595686711333408
negation,bert-base-uncased,5,delta_frob,1500,0.003077054356472585,0.9052161468164044,-0.025835801244661158,0.31733518067988264,0.35743168365387507
negation,bert-base-uncased,6,delta_frob,1500,-0.002518518255143565,0.9223605971466379,-0.024582768056652916,0.3413827995963568,0.3803979766930833
negation,bert-base-uncased,7,delta_frob,1500,-0.022519947591017945,0.3834390516057984,-0.04073188750865539,0.1148234851396109,0.14562978603072602
negation,bert-base-uncased,8,delta_frob,1500,-0.024208981704856365,0.3487763033072974,-0.038890542595510974,0.13218578281760274,0.16697151513802452
negation,bert-base-uncased,9,delta_frob,1500,-0.04393247987996423,0.08896169338597627,-0.05900567905127744,0.022291355400776057,0.0330238133487796
negation,bert-base-uncased,10,delta_frob,1500,-0.09742525408934061,0.00015738909711276102,-0.1127042091386292,1.2125277185812013e-05,2.4250554371624025e-05
negation,bert-base-uncased,11,delta_frob,1500,-0.1290961512820467,5.256385565149326e-07,-0.14056224205239204,4.588158079944014e-08,1.0373226963351685e-07
negation,bert-base-uncased,12,delta_frob,1500,-0.11707977436404333,5.458591089148878e-06,-0.13123531704491972,3.386523625367378e-07,7.187723613024639e-07
negation,bert-base-uncased,0,delta_l2,1500,0.07074793021854262,0.0061213997953447116,0.026791323671731187,0.29976167268883414,0.34384427161366266
negation,bert-base-uncased,1,delta_l2,1500,0.06095093502388448,0.01823326247568692,0.014333355712796191,0.5791038520525446,0.6124759384420132
negation,bert-base-uncased,2,delta_l2,1500,0.03155690587894378,0.22190470135981605,-0.01381412708748795,0.5929276395950762,0.6249777822758912
negation,bert-base-uncased,3,delta_l2,1500,0.024234610194862574,0.34826614937164857,-0.018110068666512446,0.48338246600687185,0.520052859979807
negation,bert-base-uncased,4,delta_l2,1500,0.009083763833660346,0.7251933030954847,-0.028211316299570827,0.27486561138654175,0.3188032369985168
negation,bert-base-uncased,5,delta_l2,1500,-0.02475090622383329,0.3380899470806581,-0.0523870034599276,0.042494815206279374,0.059189206894460555
negation,bert-base-uncased,6,delta_l2,1500,-0.011140016248917776,0.6663922652164999,-0.03185629495439589,0.21754838268639393,0.25906524961127825
negation,bert-base-uncased,7,delta_l2,1500,-0.030085813485890643,0.2442170860854728,-0.04691815092081516,0.06927566393261145,0.09197449849776498
negation,bert-base-uncased,8,delta_l2,1500,-0.022188910558063213,0.39047177286278734,-0.0345775854157584,0.180743943611672,0.22002555034495636
negation,bert-base-uncased,9,delta_l2,1500,-0.035978830184586995,0.16369741231826992,-0.051113654014020224,0.04778597455885206,0.06542686033602749
negation,bert-base-uncased,10,delta_l2,1500,-0.08174713199490133,0.001531129373268561,-0.09918885922751014,0.0001191553179634226,0.000226685726857243
negation,bert-base-uncased,11,delta_l2,1500,-0.12130053920095858,2.4597254436117556e-06,-0.13670586615795594,1.0656789573031609e-07,2.3414917935111705e-07
negation,bert-base-uncased,12,delta_l2,1500,-0.13772271239593314,8.552448594894091e-08,-0.15008939043170963,5.182373926682879e-09,1.2632036446289519e-08
negation,bert-base-uncased,0,delta_token_aligned,1500,-0.06753292638220348,0.0088876504642622,-0.0345383918375457,0.1812389949956852,0.22002555034495636
negation,bert-base-uncased,1,delta_token_aligned,1500,-0.00804824186354109,0.7554568337465204,-0.011375148242998092,0.65978895288851,0.6931116272768186
negation,bert-base-uncased,2,delta_token_aligned,1500,-0.03140455716365718,0.2241452919647277,-0.027728425053852,0.283168669204753,0.32721712885882565
negation,bert-base-uncased,3,delta_token_aligned,1500,0.01949160442951899,0.45063973244417127,0.005624909881506865,0.8276847343208382,0.8466807774036116
negation,bert-base-uncased,4,delta_token_aligned,1500,-0.03281184855439743,0.20405613498264213,-0.03806523090953448,0.1405987311541618,0.17688227467781648
negation,bert-base-uncased,5,delta_token_aligned,1500,-0.06227795604969965,0.01585023347805767,-0.06820100965187981,0.00823478435182293,0.013593929723644203
negation,bert-base-uncased,6,delta_token_aligned,1500,-0.07289255980899521,0.004735132420730941,-0.07169259389208422,0.005471102964682057,0.009379033653740668
negation,bert-base-uncased,7,delta_token_aligned,1500,-0.07651906225611067,0.0030224201804399187,-0.06958412542793492,0.007017699440587741,0.011780011357506674
negation,bert-base-uncased,8,delta_token_aligned,1500,-0.07303893518032921,0.004651771671690176,-0.06305264342442551,0.01458944254630806,0.022646298877851318
negation,bert-base-uncased,9,delta_token_aligned,1500,-0.08717764120469548,0.0007248651638305967,-0.08554947776517455,0.0009110803988520152,0.0016336614048380962
negation,bert-base-uncased,10,delta_token_aligned,1500,-0.11035853930406987,1.838149938433105e-05,-0.11289123782708077,1.1725490335378168e-05,2.3602277320245085e-05
negation,bert-base-uncased,11,delta_token_aligned,1500,-0.13736525042711187,9.24174613973875e-08,-0.14132072490630224,3.876860892007537e-08,8.943705031900092e-08
negation,bert-base-uncased,12,delta_token_aligned,1500,-0.1271923327863694,7.727933517448394e-07,-0.13478024552863127,1.6093492625317548e-07,3.5113074818874653e-07
negation,gpt2,0,delta_cos,1500,0.07698185637967307,0.0028503073453269483,0.03314977874487718,0.1994333124489968,0.23931997493879617
negation,gpt2,1,delta_cos,1500,0.03352199524715227,0.1944304497183339,-0.021489945323257598,0.4055759324084195,0.44090484638127836
negation,gpt2,2,delta_cos,1500,0.01615107020609048,0.5319398483555493,-0.026393740548955318,0.3069934822248107,0.34920338893134645
negation,gpt2,3,delta_cos,1500,0.02014953881397858,0.43549867177578594,-0.028471528886398867,0.27046093313278063,0.3148649669306999
negation,gpt2,4,delta_cos,1500,0.023130092963145152,0.37068146757010967,-0.017419071724430066,0.500230907647198,0.5363300453124598
negation,gpt2,5,delta_cos,1500,0.06475283447271767,0.012127634918561697,0.02213108819906775,0.39170816525041724,0.4273179984550006
negation,gpt2,6,delta_cos,1500,0.07949639205767077,0.0020617322920711612,0.04281254337381273,0.0974183604832556,0.1253149745502129
